affiliate,local,aff_state,aff_council,aff_local,aff_chapter,aff_name,Industry,Jurisdiction,Employer,Function,single_ocptn,Org_type
C25,3247,MI,25,3247,,24Th Judicial District Court,Courts,District,Courthouse,Adult Detention,Multiple,Public
C25,41,MI,25,41,13,30Th District Court Highland Park,Courts,District,Courthouse,Adult Detention,Multiple,Public
C25,3308,MI,25,3308,,36Th District Court Employees,Courts,District,Courthouse,Adult Detention,Multiple,Public
C25,917,MI,25,917,,36Th District Court Officers And Bailiffs,Courts,District,Courthouse,Adult Detention,Multiple,Public
C25,1250,MI,25,1250,,37Th Judicial District Court,Courts,District,Courthouse,Adult Detention,Multiple,Public
C25,1905,MI,25,1905,12,3Rd Judicial Circuit Court,Courts,District,Courthouse,Adult Detention,Multiple,Public
C25,3309,MI,25,3309,12,3Rd Judicial Circuit Court,Courts,District,Courthouse,Adult Detention,Multiple,Public
C25,1884,MI,25,1884,11,41A District Court Sterling Heights District Control Unit,Courts,District,Courthouse,Adult Detention,Multiple,Public
C25,1809,MI,25,1809,,41B District Court,Courts,City,City Government,Security & Public Safety,Multiple,Public
C25,933,MI,25,933,8,74Th Judicial District Court,Courts,District,Courthouse,Adult Detention,Multiple,Public
C1707,215,NY,1707,215,,92Nd Street Young Men Hebrew Association,Human Services,Single Entity,Religious Association,Youth Services,Multiple,Private Or Indp Entity
C1707,215,NY,1707,215,,92Nd Street Young Women Hebrew Association,Human Services,Single Entity,Religious Association,Parks & Rec,Multiple,Private Or Indp Entity
L1199,J,NJ,,1199,J,A And A Maintenance,Higher Education,District,Health District,Buildings And Grounds,Custodians,Private Or Indp Entity
C25,140,MI,25,140,12,Abbey Living Center Sanctuary At The Abbey,Health Care,Single Entity,Retirement Home,Nursing Home,Multiple,Private Or Indp Entity
C36,2229,CA,36,2229,,Abc Unified School District,K-12 Schools,City,School District,Knowledge Enrichment,Multiple,Public
C2,275,WA,2,275,,Aberdeen City,Public Administration,City,City Government,Daily Operations,Multiple,Public
C2,275,WA,2,275,,Aberdeen School District # 5 Maintenance And Operations,K-12 Schools,City,School District,Custodial And Maintenance,Blue Collar,Public
C2,275,WA,2,275,,Aberdeen School District #5 Food And Transportation Unit,K-12 Schools,City,School District,Daily Operations,Blue Collar,Public
C73,3435,NJ,73,3435,,Aberdeen Township,Utilities & Infrastructure,Township,Township,Public Works,Blue Collar,Public
C88,533,PA,88,533,,Abington School District,K-12 Schools,City,School District,Daily Operations,Blue Collar,Public
C93,1700,MA,93,1700,,Abington/Rockland Joint Water Works,Utilities & Infrastructure,Regional,County Government,Water Treatment,Water And Sewer Workers,Public
L1199,NM,NM,,1199,NM,Abl New Mexico Highlands University Dining Services,Higher Education,Single Entity,University,Food Services,Multiple,Private Or Indp Entity
C25,3740,MI,25,3740,2,Abm Healthcare Suport Services Inc. (Dba Hha Services) At Mclaren-Macomb,Health Care,Single Entity,Hospital,Clerical/Admin,Multiple,Private Or Indp Entity
C93,1703,MA,93,1703,,Acton Town Highway Department,Utilities & Infrastructure,Town,Department,Public Works,Highway Employees,Public
C93,1703,MA,93,1703,,Acton-Boxborough Regional School Committee,K-12 Schools,Regional,School Committee,Knowledge Enrichment,Multiple,Public
C93,851,MA,93,851,,Acushnet Library Employees,Public Administration,City,Library,Knowledge Enrichment,Library Workers,Public
C93,851,MA,93,851,,Acushnet Town Hall Employees,Public Administration,Town,Town Hall,Clerical/Admin,Multiple,Public
C65,3064,MN,65,3064,,Ada City,Public Administration,City,City Government,Daily Operations,Multiple,Public
C40,323,WI,40,323,,Adams City,Public Administration,City,City Government,Daily Operations,Multiple,Public
C2,1374,WA,2,1374,,Adams County Board Of Commissioners Public Works,Public Administration,County,Commission,Public Works,Blue Collar,Public
C2,1374,WA,2,1374,C,Adams County Corrections E-911,Corrections,County,Incarceration Facility,Adult Detention,Multiple,Public
C2,1374,WA,2,1374,C,Adams County Courthouse,Courts,County,County Court,Adult Detention,Multiple,Public
C40,1168,WI,40,1168,,Adams County Courthouse Employees,Courts,County,County Court,Adult Detention,Multiple,Public
C40,323,WI,40,323,,Adams County Highway Department,Utilities & Infrastructure,County,Department,Public Works,Highway Employees,Public
C8,3211,OH,8,3211,,Adams County Ohio Child Service Board Employees,Human Services,County,County Government,Youth Services,Multiple,Public
C8,3093,OH,8,3093,,Adams County Ohio Department Of Job And Family Services Employees,Human Services,County,Department,Job And Family Services,Multiple,Public
C89,2136,PA,89,2136,,Adams County Prison,Corrections,County,Incarceration Facility,Adult Detention,Multiple,Public
C40,1168,WI,40,1168,,Adams County Professional,Human Services,County,County Government,Social Services,Professional,Public
C93,204,MA,93,204,,Adams Town Clerical,Public Administration,Town,Town,Clerical/Admin,Clerical Employees,Public
C93,204,MA,93,204,,Adams Town Department Of Public Works,Public Administration,Town,Department,Public Works,Multiple,Public
C93,204,MA,93,204,,Adams-Cheshire Regional School Committee Custodians,K-12 Schools,Regional,School District,Buildings And Grounds,Custodians,Public
C93,204,MA,93,204,,Adams-Cheshire School Nurses,K-12 Schools,Regional,School District,Health,Nurses,Public
C40,2165,WI,40,2165,,Adams-Friendship Area Schools Bus Drivers,K-12 Schools,City,School District,Transport,Bus Drivers,Public
C40,2165,WI,40,2165,,Adams-Friendship Area Schools Support Staff,K-12 Schools,City,School District,Clerical/Admin,Multiple,Public
L1000,851,NY,,1000,851,Addison Central School District,K-12 Schools,City,School District,Knowledge Enrichment,Multiple,Public
L11,7120,OH,,11,7120,Adena Chillicothe Correctional Institution,Corrections,Single Entity,Incarceration Facility,Adult Detention,Multiple,Public
C65,578,MN,65,578,,Adrian Independent School District #511,K-12 Schools,City,School District,Knowledge Enrichment,Multiple,Public
C25,2490,MI,25,2490,,Adrian Public Schools Head Start Preschool Program,Early Childhood Education,City,Head Start,Social Services,Multiple,Private Or Indp Entity
C1707,253,NY,1707,253,,Adult Retardates Center Inc.,Health Care,Single Entity,Intellectual Disability Caretaker,Mental Health,Multiple,Private Or Indp Entity
L1000,765,NY,,1000,765,Afco Avports Management Llc,Transportation,Single Entity,Business,Transport,Professional,Private Or Indp Entity
C2,846,WA,2,846,AA,Aging And Adult Care Of Central Washington,Human Services,Regional,Public Authority,Convalescence/Old Aged Care,Multiple,Private Or Indp Entity
C40,1531,WI,40,1531,,Aging And Disability Resource Center Central Wisconsin,Health Care,Regional,Non-Profit,Convalescence/Old Aged Care,Multiple,Private Or Indp Entity
L1199,J,NJ,,1199,J,Ahs Hospital Corp. At Merit Mountainside,Health Care,Single Entity,Hospital,Health,Multiple,Private Or Indp Entity
C2,270,WA,2,270,A,Airway Heights City,Public Administration,City,City Government,Daily Operations,Multiple,Public
C65,667,MN,65,667,,Aitkin County Courthouse Unit,Courts,County,County Court,Adult Detention,Multiple,Public
C65,1283,MN,65,1283,,Aitkin County Health And Human Services,Human Services,County,County Government,Social Services,Multiple,Public
L4,689,OH,,4,689,Akron Board Of Education,K-12 Schools,Regional,Board Of Education,Knowledge Enrichment,Technicians,Public
L4,778,OH,,4,778,Akron Board Of Education Foremen,K-12 Schools,Regional,Board Of Education,Daily Operations,Supervisors,Public
C61,12,IA,61,12,,Iowa State Master Contract,Higher Education,State,University,Daily Operations,Multiple,Public
C8,1360,OH,8,1360,,Akron City,Public Administration,City,City Government,Daily Operations,Multiple,Public
C8,684,OH,8,684,,Akron City Hospital,Health Care,Single Entity,Hospital,Health,Multiple,Public
C8,2517,OH,8,2517,,Akron Metropolitan Housing Authority,Human Services,Regional,Housing Authority,Housing,Blue Collar,Public
